ENUM_NAME,VALUE_PARAM,FILE,LINE_APPROX,PATTERN_TYPE,CALL_FUNCTION,SEMANTICS
A_SET_FIRING_MODE,FLAG_CTS_MODE,NeutronaWand/include/System.h,560,CONSTANT,wandSerialSend,Cross-the-streams firing mode
A_SET_FIRING_MODE,FLAG_CTS_MODE,NeutronaWand/include/System.h,210,CONSTANT,wandSerialSend,Cross-the-streams firing mode
A_SET_FIRING_MODE,FLAG_CTS_MODE,ProtonPack/include/Command.h,244,CONSTANT,packSerialSend,Cross-the-streams firing mode
A_SET_FIRING_MODE,FLAG_VG_MODE,ProtonPack/include/Command.h,240,CONSTANT,packSerialSend,Video game firing mode
A_SET_FIRING_MODE,gpstarWand.isFiringModeCTSMix() ? FLAG_CTS_MIX_MODE : FLAG_CTS_MODE,NeutronaWand/include/Serial.h,871,VARIABLE,wandSerialSend,Conditional firing mode
A_SET_FIRING_MODE,i_value,ProtonPack/include/Serial.h,1922,VARIABLE,attenuatorSerialSend,Conditional firing mode
A_SET_POWER_LEVEL,5,ProtonPack/include/PowerMeter.h,440,CONSTANT,attenuatorSerialSend,Power level 5
A_SET_POWER_LEVEL,4,ProtonPack/include/PowerMeter.h,517,CONSTANT,attenuatorSerialSend,Power level 4
A_SET_POWER_LEVEL,5,ProtonPack/include/PowerMeter.h,522,CONSTANT,attenuatorSerialSend,Power level 5
A_SET_POWER_LEVEL,5,ProtonPack/include/PowerMeter.h,610,CONSTANT,attenuatorSerialSend,Power level 5
A_SET_POWER_LEVEL,1,ProtonPack/include/Serial.h,2105,CONSTANT,attenuatorSerialSend,Power level 1
A_SET_POWER_LEVEL,2,ProtonPack/include/Serial.h,2124,CONSTANT,attenuatorSerialSend,Power level 2
A_SET_POWER_LEVEL,3,ProtonPack/include/Serial.h,2143,CONSTANT,attenuatorSerialSend,Power level 3
A_SET_POWER_LEVEL,4,ProtonPack/include/Serial.h,2162,CONSTANT,attenuatorSerialSend,Power level 4
A_SET_POWER_LEVEL,5,ProtonPack/include/Serial.h,2182,CONSTANT,attenuatorSerialSend,Power level 5
A_SET_BARREL_TYPE,2,NeutronaWand/include/Actions.h,289,CONSTANT,wandSerialSend,FRUTTO barrel type
A_SET_BARREL_TYPE,3,NeutronaWand/include/Actions.h,304,CONSTANT,wandSerialSend,GPSTAR barrel type
A_SET_BARREL_TYPE,4,NeutronaWand/include/Actions.h,320,CONSTANT,wandSerialSend,GPSTAR_II barrel type
A_SET_BARREL_TYPE,5,NeutronaWand/include/Actions.h,335,CONSTANT,wandSerialSend,GPSTAR_MINI barrel type
A_SET_BARREL_TYPE,1,NeutronaWand/include/Actions.h,350,CONSTANT,wandSerialSend,HASBRO barrel type
A_SET_CYCLOTRON_LED_COUNT,2,NeutronaWand/include/Actions.h,476,CONSTANT,wandSerialSend,LED count toggle
A_SET_CYCLOTRON_LED_COUNT,12,ProtonPack/include/Serial.h,1367,CONSTANT,packSerialSend,12 LED count
A_SET_CYCLOTRON_LED_COUNT,0,ProtonPack/include/Serial.h,1376,CONSTANT,packSerialSend,0 LED count
A_SET_POWERCELL_LED_COUNT,2,NeutronaWand/include/Actions.h,416,CONSTANT,wandSerialSend,LED count toggle
A_SET_INNER_CYCLOTRON_LED_COUNT,2,NeutronaWand/include/Actions.h,517,CONSTANT,wandSerialSend,LED count toggle
A_SET_VIBRATION_MODE,6,NeutronaWand/include/Actions.h,833,CONSTANT,wandSerialSend,CYCLE_TOGGLE_EEPROM
A_SET_VIBRATION_MODE,1,NeutronaWand/include/Actions.h,938,CONSTANT,wandSerialSend,ALWAYS vibration
A_SET_VIBRATION_MODE,2,NeutronaWand/include/Actions.h,954,CONSTANT,wandSerialSend,FIRING_ONLY vibration
A_SET_VIBRATION_MODE,3,NeutronaWand/include/Actions.h,969,CONSTANT,wandSerialSend,NEVER vibration
A_SET_VIBRATION_MODE,4,NeutronaWand/include/Actions.h,982,CONSTANT,wandSerialSend,DEFAULT vibration
A_SET_VIBRATION_MODE,5,NeutronaWand/include/Actions.h,1624,CONSTANT,wandSerialSend,CYCLE_TOGGLE
A_SET_VIBRATION_MODE,2,NeutronaWand/include/Actions.h,1642,CONSTANT,wandSerialSend,FIRING_ONLY vibration
A_SET_VIBRATION_MODE,3,NeutronaWand/include/Actions.h,1656,CONSTANT,wandSerialSend,NEVER vibration
A_SET_VIBRATION_MODE,1,NeutronaWand/include/Actions.h,1668,CONSTANT,wandSerialSend,ALWAYS vibration
A_TOGGLE_SMOKE,2,Attenuator/include/Webhandler.h,1087,CONSTANT,attenuatorSerialSend,Smoke toggle ON
A_TOGGLE_SMOKE,1,Attenuator/include/Webhandler.h,1092,CONSTANT,attenuatorSerialSend,Smoke toggle OFF
A_TOGGLE_SMOKE,b_smoke_enabled ? 2 : 1,ProtonPack/include/Command.h,224,VARIABLE,attenuatorSerialSend,Smoke toggle state
A_TOGGLE_VIBRATION,2,Attenuator/include/Webhandler.h,1112,CONSTANT,attenuatorSerialSend,Vibration toggle ON
A_TOGGLE_VIBRATION,1,Attenuator/include/Webhandler.h,1117,CONSTANT,attenuatorSerialSend,Vibration toggle OFF
A_TOGGLE_VIBRATION,b_vibration_switch_on ? 2 : 1,ProtonPack/include/Command.h,247,VARIABLE,attenuatorSerialSend,Vibration toggle state
A_CYCLOTRON_DIRECTION_TOGGLE,2,Attenuator/include/Webhandler.h,1137,CONSTANT,attenuatorSerialSend,Direction toggle
A_CYCLOTRON_DIRECTION_TOGGLE,1,Attenuator/include/Webhandler.h,1142,CONSTANT,attenuatorSerialSend,Direction toggle
A_CYCLOTRON_DIRECTION_TOGGLE,b_clockwise ? 2 : 1,ProtonPack/include/Command.h,280,VARIABLE,attenuatorSerialSend,Direction toggle state
A_TOGGLE_MUTE,2,Attenuator/include/Webhandler.h,1272,CONSTANT,attenuatorSerialSend,Mute toggle ON
A_TOGGLE_MUTE,1,Attenuator/include/Webhandler.h,1277,CONSTANT,attenuatorSerialSend,Mute toggle OFF
A_TOGGLE_MUTE,i_volume_master == i_volume_abs_min ? 2 : 1,ProtonPack/include/Command.h,285,VARIABLE,attenuatorSerialSend,Mute toggle state
A_VOLUME_SET,volume,Attenuator/include/Webhandler.h,1315,VARIABLE,attenuatorSerialSend,Volume value
A_MUSIC_TRACK_LOOP_TOGGLE,2,Attenuator/include/Webhandler.h,1384,CONSTANT,attenuatorSerialSend,Loop toggle ON
A_MUSIC_TRACK_LOOP_TOGGLE,1,Attenuator/include/Webhandler.h,1389,CONSTANT,attenuatorSerialSend,Loop toggle OFF
A_MUSIC_TRACK_LOOP_TOGGLE,b_repeat_track ? 2 : 1,ProtonPack/include/Command.h,365,VARIABLE,attenuatorSerialSend,Loop toggle state
A_MUSIC_TRACK_LOOP_TOGGLE,b_repeat_track ? 2 : 1,ProtonPack/include/Serial.h,2912,VARIABLE,attenuatorSerialSend,Loop toggle state
A_MUSIC_TRACK_SHUFFLE_TOGGLE,2,Attenuator/include/Webhandler.h,1409,CONSTANT,attenuatorSerialSend,Shuffle toggle ON
A_MUSIC_TRACK_SHUFFLE_TOGGLE,1,Attenuator/include/Webhandler.h,1414,CONSTANT,attenuatorSerialSend,Shuffle toggle OFF
A_MUSIC_TRACK_SHUFFLE_TOGGLE,b_shuffle_tracks ? 2 : 1,ProtonPack/include/Command.h,371,VARIABLE,attenuatorSerialSend,Shuffle toggle state
A_MUSIC_TRACK_SHUFFLE_TOGGLE,b_shuffle_tracks ? 2 : 1,ProtonPack/include/Serial.h,2919,VARIABLE,attenuatorSerialSend,Shuffle toggle state
A_MUSIC_PLAY_TRACK,i_music_track,Attenuator/include/Webhandler.h,1437,VARIABLE,attenuatorSerialSend,Music track number
A_MUSIC_IS_PLAYING,i_current_music_track,ProtonPack/include/Audio.h,371,VARIABLE,attenuatorSerialSend,Current music track number
A_MUSIC_IS_NOT_PLAYING,i_current_music_track,ProtonPack/include/Audio.h,400,VARIABLE,attenuatorSerialSend,Current music track number
A_MUSIC_IS_NOT_PLAYING,i_current_music_track,ProtonPack/include/Audio.h,535,VARIABLE,attenuatorSerialSend,Current music track number
A_MUSIC_IS_NOT_PLAYING,i_current_music_track,ProtonPack/include/Audio.h,592,VARIABLE,attenuatorSerialSend,Current music track number
A_MUSIC_STATUS,b_playing_music ? 2 : 1,ProtonPack/include/Audio.h,368,VARIABLE,packSerialSend,Music play state (2=playing, 1=not)
A_MUSIC_STATUS,b_playing_music ? 2 : 1,ProtonPack/include/Audio.h,397,VARIABLE,packSerialSend,Music play state
A_MUSIC_STATUS,b_music_paused ? 4 : 3,ProtonPack/include/Audio.h,444,VARIABLE,packSerialSend,Music pause state (4=paused, 3=playing)
A_MUSIC_STATUS,b_music_paused ? 4 : 3,ProtonPack/include/Audio.h,475,VARIABLE,packSerialSend,Music pause state
A_MUSIC_LOOP_STATUS,b_repeat_track ? 2 : 1,ProtonPack/include/Command.h,366,VARIABLE,packSerialSend,Loop state
A_MUSIC_LOOP_STATUS,b_repeat_track ? 2 : 1,ProtonPack/include/Serial.h,2913,VARIABLE,packSerialSend,Loop state
A_MUSIC_SHUFFLE_STATUS,b_shuffle_tracks ? 2 : 1,ProtonPack/include/Command.h,372,VARIABLE,packSerialSend,Shuffle state
A_MUSIC_SHUFFLE_STATUS,b_shuffle_tracks ? 2 : 1,ProtonPack/include/Serial.h,2920,VARIABLE,packSerialSend,Shuffle state
A_MASTER_AUDIO_STATUS,i_volume_master == i_volume_abs_min ? 2 : 1,ProtonPack/include/Command.h,286,VARIABLE,packSerialSend,Master audio mute state
A_MASTER_AUDIO_STATUS,i_volume_master == i_volume_abs_min ? 2 : 1,ProtonPack/include/Serial.h,2929,VARIABLE,packSerialSend,Master audio mute state
A_STREAM_FLAGS,gpstarWand.getStreamModeOpts(),NeutronaWand/include/Command.h,79,FUNCTION_CALL,wandSerialSend,Stream mode options
A_STREAM_FLAGS,gpstarWand.getStreamModeOpts(),NeutronaWand/include/Command.h,85,FUNCTION_CALL,wandSerialSend,Stream mode options
A_STREAM_FLAGS,gpstarWand.getStreamModeOpts(),NeutronaWand/include/Serial.h,583,FUNCTION_CALL,wandSerialSend,Stream mode options
A_STREAM_FLAGS,gpstarWand.getStreamModeOpts(),NeutronaWand/include/Serial.h,856,FUNCTION_CALL,wandSerialSend,Stream mode options
A_STREAM_FLAGS,gpstarWand.getStreamModeOpts(),NeutronaWand/include/System.h,10477,FUNCTION_CALL,wandSerialSend,Stream mode options
A_STREAM_FLAGS,gpstarWand.getStreamModeOpts(),NeutronaWand/include/System.h,10527,FUNCTION_CALL,wandSerialSend,Stream mode options
A_STREAM_FLAGS,gpstarPack.getStreamModeOpts(),ProtonPack/include/Serial.h,1319,FUNCTION_CALL,attenuatorSerialSend,Pack stream mode options
A_ALARM_ON,ribbonCableAttached() ? 1 : 0,ProtonPack/include/Command.h,147,FUNCTION_CALL,attenuatorSerialSend,Alarm ON with ribbon state
A_ALARM_ON,ribbonCableAttached() ? 1 : 0,ProtonPack/include/Serial.h,1027,FUNCTION_CALL,attenuatorSerialSend,Alarm ON with ribbon state
A_ALARM_ON,ribbonCableAttached() ? 1 : 0,ProtonPack/include/Serial.h,1188,FUNCTION_CALL,packSerialSend,Alarm ON with ribbon state
A_ALARM_ON,ribbonCableAttached() ? 1 : 0,ProtonPack/include/System.h,4093,FUNCTION_CALL,packSerialSend,Alarm ON with ribbon state
A_ALARM_ON,ribbonCableAttached() ? 1 : 0,ProtonPack/include/System.h,4096,FUNCTION_CALL,attenuatorSerialSend,Alarm ON with ribbon state
A_ALARM_OFF,ribbonCableAttached() ? 1 : 0,ProtonPack/include/Command.h,155,FUNCTION_CALL,attenuatorSerialSend,Alarm OFF with ribbon state
A_ALARM_OFF,ribbonCableAttached() ? 1 : 0,ProtonPack/include/System.h,1006,FUNCTION_CALL,packSerialSend,Alarm OFF with ribbon state
A_ALARM_OFF,ribbonCableAttached() ? 1 : 0,ProtonPack/include/System.h,1009,FUNCTION_CALL,attenuatorSerialSend,Alarm OFF with ribbon state
A_ALARM_OFF,ribbonCableAttached() ? 1 : 0,ProtonPack/include/System.h,1530,FUNCTION_CALL,packSerialSend,Alarm OFF with ribbon state
A_ALARM_OFF,ribbonCableAttached() ? 1 : 0,ProtonPack/include/System.h,1533,FUNCTION_CALL,attenuatorSerialSend,Alarm OFF with ribbon state
A_PACK_OFF,b_pack_shutting_down ? 1 : 0,ProtonPack/include/System.h,1416,VARIABLE,packSerialSend,Pack shutdown state
A_PACK_OFF,b_pack_shutting_down ? 1 : 0,ProtonPack/include/System.h,1417,VARIABLE,attenuatorSerialSend,Pack shutdown state
A_PACK_OFF,b_pack_shutting_down ? 1 : 0,ProtonPack/include/System.h,1521,VARIABLE,packSerialSend,Pack shutdown state
A_PACK_OFF,b_pack_shutting_down ? 1 : 0,ProtonPack/include/System.h,1522,VARIABLE,attenuatorSerialSend,Pack shutdown state
A_WAND_ON,(switch_vent.on() && gpstarWand.getSystemMode() == MODE_SUPER_HERO) ? 0 : 1,NeutronaWand/include/System.h,3238,VARIABLE,wandSerialSend,Wand ON state with mode check
A_SET_WAND_GPSTAR_AUDIO_LED,0,NeutronaWand/include/Actions.h,188,CONSTANT,wandSerialSend,Audio LED disabled
A_SET_WAND_GPSTAR_AUDIO_LED,1,NeutronaWand/include/Actions.h,194,CONSTANT,wandSerialSend,Audio LED enabled
A_SET_WAND_VIBRATION_MODE,1,ProtonPack/include/Command.h,240,CONSTANT,packSerialSend,ALWAYS vibration mode
A_SET_WAND_VIBRATION_MODE,3,ProtonPack/include/Command.h,244,CONSTANT,packSerialSend,NEVER vibration mode
A_SET_WAND_VIBRATION_MODE,1,ProtonPack/include/Serial.h,2489,CONSTANT,packSerialSend,ALWAYS vibration mode
A_SET_WAND_VIBRATION_MODE,3,ProtonPack/include/Serial.h,2492,CONSTANT,packSerialSend,NEVER vibration mode
A_SET_WAND_VIBRATION_MODE,1,ProtonPack/include/System.h,1939,CONSTANT,packSerialSend,ALWAYS vibration mode
A_SET_WAND_VIBRATION_MODE,3,ProtonPack/include/System.h,1949,CONSTANT,packSerialSend,NEVER vibration mode
A_SET_PACK_VIBRATION_MODE,2,ProtonPack/include/Serial.h,2509,CONSTANT,packSerialSend,FIRING_ONLY vibration mode
A_SET_PACK_VIBRATION_MODE,3,ProtonPack/include/Serial.h,2525,CONSTANT,packSerialSend,NEVER vibration mode
A_SET_PACK_VIBRATION_MODE,5,ProtonPack/include/Serial.h,2545,CONSTANT,packSerialSend,CYCLOTRON_MOTOR vibration mode
A_SET_PACK_VIBRATION_MODE,1,ProtonPack/include/Serial.h,2559,CONSTANT,packSerialSend,ALWAYS vibration mode
A_SET_PACK_VIBRATION_MODE,1,ProtonPack/include/Serial.h,2582,CONSTANT,packSerialSend,ALWAYS vibration mode
A_SET_PACK_VIBRATION_MODE,2,ProtonPack/include/Serial.h,2599,CONSTANT,packSerialSend,FIRING_ONLY vibration mode
A_SET_PACK_VIBRATION_MODE,3,ProtonPack/include/Serial.h,2615,CONSTANT,packSerialSend,NEVER vibration mode
A_SET_PACK_VIBRATION_MODE,5,ProtonPack/include/Serial.h,2630,CONSTANT,packSerialSend,CYCLOTRON_MOTOR vibration mode
A_SET_PACK_VIBRATION_MODE,4,ProtonPack/include/Serial.h,2651,CONSTANT,packSerialSend,DEFAULT vibration mode
A_BATTERY_VOLTAGE_PACK,(uint16_t)(f_batt_volts * 100),ProtonPack/include/PowerMeter.h,549,VARIABLE,attenuatorSerialSend,Battery voltage calculation
A_BATTERY_VOLTAGE_PACK,(uint16_t)(f_batt_volts),ProtonPack/include/PowerMeter.h,551,VARIABLE,attenuatorSerialSend,Battery voltage direct
A_TEMPERATURE_PACK,f_temperature_c * 100,ProtonPack/include/System.h,5842,VARIABLE,attenuatorSerialSend,Temperature calculation
A_WAND_POWER_AMPS,f_wand_amps,ProtonPack/include/PowerMeter.h,354,VARIABLE,attenuatorSerialSend,Wand amperage
A_WAND_AUDIO_VERSION,i_audio_version,NeutronaWand/include/Serial.h,853,VARIABLE,wandSerialSend,Audio version number
A_WAND_AUDIO_VERSION,i_wand_audio_version,ProtonPack/include/Serial.h,4498,VARIABLE,attenuatorSerialSend,Wand audio version number
A_SET_DEMO_LIGHT_MODE,1,ProtonPack/include/Serial.h,3885,CONSTANT,packSerialSend,Demo light mode enabled
A_SET_DEMO_LIGHT_MODE,0,ProtonPack/include/Serial.h,3896,CONSTANT,packSerialSend,Demo light mode disabled
A_SET_OVERHEAT_STROBE,1,ProtonPack/include/Serial.h,4267,CONSTANT,packSerialSend,Overheat strobe enabled
A_SET_OVERHEAT_STROBE,0,ProtonPack/include/Serial.h,4276,CONSTANT,packSerialSend,Overheat strobe disabled
A_SET_OVERHEAT_LIGHTS_OFF,1,ProtonPack/include/Serial.h,4297,CONSTANT,packSerialSend,Overheat lights off enabled
A_SET_OVERHEAT_LIGHTS_OFF,0,ProtonPack/include/Serial.h,4306,CONSTANT,packSerialSend,Overheat lights off disabled
A_SET_OVERHEAT_SYNC_FAN,1,ProtonPack/include/Serial.h,4327,CONSTANT,packSerialSend,Overheat sync fan enabled
A_SET_OVERHEAT_SYNC_FAN,0,ProtonPack/include/Serial.h,4336,CONSTANT,packSerialSend,Overheat sync fan disabled
A_SET_PACK_GPSTAR_AUDIO_LED,1,ProtonPack/include/Serial.h,4472,CONSTANT,packSerialSend,Pack audio LED enabled
A_SET_PACK_GPSTAR_AUDIO_LED,0,ProtonPack/include/Serial.h,4480,CONSTANT,packSerialSend,Pack audio LED disabled
A_SET_QUICK_BOOTUP,1,ProtonPack/include/Serial.h,4517,CONSTANT,packSerialSend,Quick bootup enabled
A_SET_QUICK_BOOTUP,0,ProtonPack/include/Serial.h,4525,CONSTANT,packSerialSend,Quick bootup disabled
A_SET_OVERHEAT_STROBE,2,NeutronaWand/include/Actions.h,1257,CONSTANT,wandSerialSend,Overheat strobe toggle
A_SET_DEMO_LIGHT_MODE,2,NeutronaWand/include/Actions.h,1260,CONSTANT,wandSerialSend,Demo light mode toggle
A_SET_CYCLOTRON_SIMULATE_RING,2,NeutronaWand/include/Actions.h,1293,CONSTANT,wandSerialSend,Cyclotron simulate ring toggle
A_SET_OVERHEAT_LIGHTS_OFF,2,NeutronaWand/include/Actions.h,1297,CONSTANT,wandSerialSend,Overheat lights off toggle
A_SET_QUICK_BOOTUP,2,NeutronaWand/include/Actions.h,1301,CONSTANT,wandSerialSend,Quick bootup toggle
A_SET_PROTON_STREAM_IMPACT,b_stream_effects ? 2 : 1,NeutronaWand/include/Actions.h,1417,VARIABLE,wandSerialSend,Stream impact state
A_SET_OVERHEAT_SYNC_FAN,2,NeutronaWand/include/Actions.h,1420,CONSTANT,wandSerialSend,Overheat sync fan toggle
A_SET_PROTON_STREAM_IMPACT,b_stream_effects ? 4 : 3,NeutronaWand/include/Serial.h,880,VARIABLE,wandSerialSend,Stream impact state (alt values)
A_BUTTON_MASHING,i_timeout,NeutronaWand/include/System.h,3600,VARIABLE,wandSerialSend,Button mashing timeout
A_FIRING,b_firing_intensify ? 1 : 2,NeutronaWand/include/System.h,6064,VARIABLE,wandSerialSend,Firing mode state
A_IMPACT_SOUND,i_random_effect,NeutronaWand/include/System.h,7451,VARIABLE,wandSerialSend,Impact sound effect ID
A_COM_SOUND_NUMBER,i_tmp_sound,NeutronaWand/include/System.h,9396,VARIABLE,wandSerialSend,Communication sound number
A_SYSTEM_LOCKOUT,i_timeout,ProtonPack/include/System.h,5416,VARIABLE,attenuatorSerialSend,System lockout timeout
